OrderID,Date,Customer,Region,Category,Product,Quantity,UnitPrice,TotalSales
1001,2025-08-02,C0001,South,Furniture,Bed,7,59458,416206
1002,2025-07-10,C0002,West,Furniture,Sofa,9,49934,449406
1003,2025-07-25,C0003,North,Electronics,Mobile,14,53461,748454
1004,2025-06-02,C0004,North,Furniture,Chair,9,4664,41976
1005,2025-03-05,C0005,West,Furniture,Bed,17,48131,818227
1006,2025-03-19,C0006,West,Furniture,Sofa,18,1977,35586
1007,2025-05-17,C0007,East,Electronics,Mobile,15,36914,553710
1008,2025-06-28,C0008,South,Clothing,Dress,4,41835,167340
1009,2025-03-22,C0009,East,Clothing,T-shirt,10,59076,590760
1010,2025-08-06,C0010,West,Clothing,Shirt,6,25559,153354
1011,2025-04-27,C0011,East,Electronics,Laptop,5,53656,268280
1012,2025-06-06,C0012,East,Electronics,Headphones,10,55563,555630
1013,2025-07-24,C0013,East,Furniture,Chair,11,13872,152592
1014,2025-05-29,C0014,East,Furniture,Table,18,58843,1059174
1015,2025-05-11,C0015,North,Clothing,Dress,6,33680,202080
1016,2025-08-06,C0016,North,Clothing,Jacket,7,37086,259602
1017,2025-04-22,C0017,North,Clothing,Shirt,14,17119,239666
1018,2025-08-22,C0018,South,Furniture,Chair,17,42875,728875
1019,2025-06-17,C0019,West,Clothing,Jeans,8,27104,216832
1020,2025-03-25,C0020,North,Clothing,T-shirt,3,17240,51720
1021,2025-04-22,C0021,East,Clothing,Jeans,16,43248,691968
1022,2025-04-10,C0022,North,Clothing,Dress,14,14388,201432
1023,2025-08-19,C0023,South,Furniture,Cupboard,16,35353,565648
1024,2025-06-17,C0024,West,Furniture,Bed,4,57313,229252
1025,2025-05-10,C0025,West,Furniture,Sofa,7,49010,343070
1026,2025-08-16,C0026,West,Furniture,Table,17,29549,502333
1027,2025-07-10,C0027,East,Furniture,Sofa,4,40936,163744
1028,2025-03-22,C0028,East,Electronics,Tablet,3,13262,39786
1029,2025-04-04,C0029,North,Electronics,Headphones,2,44269,88538
1030,2025-06-18,C0030,East,Furniture,Sofa,3,32587,97761
1031,2025-05-16,C0031,North,Furniture,Chair,1,58085,58085
1032,2025-03-30,C0032,North,Electronics,Tablet,6,37391,224346
1033,2025-07-30,C0033,South,Electronics,Smartwatch,3,52171,156513
1034,2025-07-09,C0034,North,Furniture,Sofa,11,5381,59191
1035,2025-07-30,C0035,West,Electronics,Tablet,6,44630,267780
1036,2025-08-25,C0036,North,Electronics,Headphones,16,57445,919120
1037,2025-06-19,C0037,North,Electronics,Tablet,18,5323,95814
1038,2025-03-13,C0038,West,Clothing,T-shirt,10,39828,398280
1039,2025-05-16,C0039,South,Electronics,Smartwatch,12,21661,259932
1040,2025-04-17,C0040,West,Electronics,Smartwatch,16,51819,829104
1041,2025-06-05,C0041,North,Furniture,Cupboard,18,28617,515106
1042,2025-05-08,C0042,South,Furniture,Bed,13,16209,210717
1043,2025-03-04,C0043,East,Electronics,Mobile,1,9342,9342
1044,2025-03-15,C0044,East,Furniture,Bed,17,16321,277457
1045,2025-05-01,C0045,South,Clothing,Dress,18,27819,500742
1046,2025-07-08,C0046,East,Clothing,T-shirt,9,9623,86607
1047,2025-03-12,C0047,North,Furniture,Table,5,40651,203255
1048,2025-08-13,C0048,West,Clothing,T-shirt,14,46203,646842
1049,2025-04-01,C0049,West,Electronics,Smartwatch,1,33281,33281
1050,2025-08-16,C0050,South,Electronics,Smartwatch,2,25374,50748
1051,2025-06-02,C0051,North,Clothing,Shirt,3,43606,130818
1052,2025-04-09,C0052,North,Furniture,Table,7,58843,411901
1053,2025-06-15,C0053,South,Clothing,T-shirt,10,56584,565840
1054,2025-08-15,C0054,South,Furniture,Cupboard,20,49718,994360
1055,2025-03-26,C0055,East,Clothing,Shirt,8,24017,192136
1056,2025-06-16,C0056,East,Clothing,T-shirt,7,47850,334950
1057,2025-08-04,C0057,West,Furniture,Chair,5,18994,94970
1058,2025-03-10,C0058,East,Clothing,T-shirt,13,5794,75322
1059,2025-08-16,C0059,North,Electronics,Tablet,8,53726,429808
1060,2025-05-31,C0060,West,Electronics,Headphones,8,35182,281456
1061,2025-08-16,C0061,East,Clothing,Dress,1,49191,49191
1062,2025-03-22,C0062,South,Furniture,Sofa,13,46152,599976
